epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.525,1.79733,3.60933,1.60887,0.00419,0.59444,0.15923,0.0991,1.56799,4.04628,1.26191,0.000463459,0.000463459,0.000463459
2,226.902,1.48719,2.38408,1.29195,1,0.15242,0.67548,0.34837,1.71827,3.35156,1.40701,0.000930489,0.000930489,0.000930489
3,337.619,1.46795,1.95767,1.37195,0.88719,0.3381,0.66092,0.33255,1.73868,2.87642,1.3625,0.00138809,0.00138809,0.00138809
4,454.66,1.43503,1.66542,1.30976,0.7742,0.65614,0.76099,0.42842,1.70537,3.07529,1.35995,0.00138656,0.00138656,0.00138656
5,568.052,1.34256,1.52849,1.25212,0.92137,0.70941,0.80629,0.43542,1.783,2.43737,1.4916,0.00137241,0.00137241,0.00137241
6,682.148,1.35632,1.43038,1.26527,0.9276,0.86106,0.91067,0.51492,1.59596,2.18585,1.34575,0.00135826,0.00135826,0.00135826
7,793.346,1.33444,1.41714,1.23248,0.94482,0.91115,0.94512,0.54375,1.57919,1.78002,1.35445,0.00134412,0.00134412,0.00134412
8,902.92,1.28785,1.28003,1.22811,0.96401,0.92646,0.95137,0.54157,1.64409,1.74017,1.3737,0.00132997,0.00132997,0.00132997
9,1012.81,1.2402,1.21056,1.20283,0.96072,0.95159,0.95687,0.54988,1.55594,1.65365,1.29072,0.00131582,0.00131582,0.00131582
10,1126.3,1.20688,1.21702,1.16422,0.94508,0.95003,0.96078,0.57248,1.52328,1.49582,1.28367,0.00130168,0.00130168,0.00130168
11,1240.96,1.25842,1.22029,1.20319,0.96441,0.93931,0.96163,0.56673,1.53624,1.50973,1.27552,0.00128753,0.00128753,0.00128753
12,1350.07,1.26773,1.23307,1.19977,0.97807,0.94732,0.96191,0.57609,1.48844,1.54249,1.248,0.00127338,0.00127338,0.00127338
13,1458.87,1.21815,1.16679,1.19562,0.97144,0.90822,0.954,0.56197,1.54005,1.50771,1.25779,0.00125923,0.00125923,0.00125923
14,1567.34,1.23798,1.12786,1.16628,0.96295,0.93541,0.96185,0.6144,1.45241,1.36418,1.23553,0.00124509,0.00124509,0.00124509
15,1673.77,1.24239,1.1337,1.213,0.96817,0.90224,0.95472,0.56636,1.47233,1.41683,1.24863,0.00123094,0.00123094,0.00123094
16,1781.39,1.16738,1.03878,1.17121,0.96603,0.9119,0.95593,0.54812,1.53009,1.33998,1.26518,0.00121679,0.00121679,0.00121679
17,1891.89,1.15133,0.97271,1.15355,0.99215,0.9327,0.97721,0.61369,1.39465,1.19727,1.19507,0.00120265,0.00120265,0.00120265
18,2001.13,1.07842,0.91167,1.12123,0.98092,0.92778,0.97732,0.61236,1.40807,1.22723,1.18805,0.0011885,0.0011885,0.0011885
19,2110.39,1.17432,0.98661,1.16404,0.96338,0.96192,0.97739,0.61815,1.36875,1.24806,1.1752,0.00117435,0.00117435,0.00117435
20,2220.11,1.15915,1.00343,1.18509,0.96798,0.94171,0.97542,0.60912,1.39701,1.21654,1.17084,0.00116021,0.00116021,0.00116021
21,2329.29,1.1577,0.96018,1.09092,0.96704,0.96594,0.97735,0.5999,1.41679,1.18025,1.19907,0.00114606,0.00114606,0.00114606
22,2441.9,1.15658,0.99954,1.144,0.99384,0.95709,0.98027,0.61183,1.45006,1.12819,1.20484,0.00113191,0.00113191,0.00113191
23,2550.36,1.15978,0.9347,1.13269,0.99413,0.96607,0.9802,0.58173,1.49452,1.13249,1.231,0.00111776,0.00111776,0.00111776
24,2658.73,1.12444,0.87071,1.1678,0.9867,0.96312,0.98,0.61092,1.41784,1.10225,1.2119,0.00110362,0.00110362,0.00110362
25,2768.02,1.13995,0.93103,1.16868,0.98717,0.96375,0.98007,0.59252,1.45919,1.10413,1.25049,0.00108947,0.00108947,0.00108947
26,2876.37,1.13346,0.90198,1.13528,0.99679,0.95055,0.98072,0.61581,1.42398,1.08989,1.23824,0.00107532,0.00107532,0.00107532
27,2986.97,1.11969,0.86661,1.14654,0.99552,0.94813,0.98066,0.60713,1.41454,1.04507,1.22181,0.00106118,0.00106118,0.00106118
28,3097.35,1.10583,0.8465,1.09772,0.99593,0.95345,0.98179,0.60778,1.41655,1.00474,1.22101,0.00104703,0.00104703,0.00104703
29,3204.18,1.09733,0.81922,1.10607,0.98562,0.95159,0.97951,0.63297,1.40772,0.97671,1.20022,0.00103288,0.00103288,0.00103288
30,3313.74,1.15163,0.88283,1.14223,0.99006,0.95159,0.97443,0.63817,1.32247,0.94355,1.17622,0.00101873,0.00101873,0.00101873
31,3421.95,1.05984,0.79288,1.10863,0.9898,0.94188,0.97543,0.61752,1.38943,0.99137,1.18716,0.00100459,0.00100459,0.00100459
32,3537.27,1.09518,0.8356,1.12406,0.99687,0.95475,0.98077,0.60426,1.41506,0.96666,1.19112,0.00099044,0.00099044,0.00099044
33,3651.7,1.07414,0.75837,1.10618,0.99599,0.96385,0.98104,0.59301,1.39771,0.9744,1.20098,0.000976293,0.000976293,0.000976293
34,3761.51,1.06115,0.74976,1.09714,0.99489,0.95996,0.98087,0.604,1.38646,0.95895,1.18134,0.000962146,0.000962146,0.000962146
35,3871.53,1.0464,0.76449,1.10557,0.9926,0.95842,0.98091,0.63199,1.30583,0.90123,1.16299,0.000947999,0.000947999,0.000947999
36,3982.72,1.06931,0.76307,1.09858,0.98602,0.96323,0.98481,0.61716,1.38094,0.95161,1.22104,0.000933851,0.000933851,0.000933851
37,4095.61,1.02155,0.71136,1.09115,0.99187,0.95905,0.98609,0.63477,1.28201,0.8744,1.17198,0.000919704,0.000919704,0.000919704
38,4208.99,1.05595,0.76704,1.10589,0.99407,0.96629,0.98586,0.57835,1.42612,0.90618,1.2051,0.000905557,0.000905557,0.000905557
39,4322.29,1.0481,0.71944,1.09654,0.97745,0.98413,0.98586,0.60632,1.3853,0.90235,1.21389,0.00089141,0.00089141,0.00089141
40,4433.45,1.02457,0.70992,1.07367,0.98309,0.9839,0.98291,0.60941,1.3989,0.92077,1.20218,0.000877263,0.000877263,0.000877263
41,4541.59,1.09569,0.76918,1.11105,0.98245,0.98413,0.98224,0.58635,1.48843,0.90652,1.22595,0.000863116,0.000863116,0.000863116
