epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.9131,2.25403,4.60207,1.83569,0.00216,0.33333,0.18232,0.06786,2.06635,3.91832,1.69391,0.00030009,0.00030009,0.00030009
2,136.85,1.79975,3.64488,1.42195,0.00223,0.33333,0.31667,0.18898,1.69873,3.83392,1.39969,0.000608387,0.000608387,0.000608387
3,205.654,1.88374,2.86546,1.3775,0.0023,0.33333,0.22011,0.08684,1.9164,3.7711,1.4933,0.000910459,0.000910459,0.000910459
4,269.513,1.91988,2.80881,1.38923,0.00287,0.36364,0.00978,0.00345,1.61454,3.61314,1.26184,0.00120631,0.00120631,0.00120631
5,332.639,1.80501,2.94008,1.36108,0.01128,1,0.44598,0.23937,1.60687,3.21035,1.39731,0.00137241,0.00137241,0.00137241
6,395.409,1.72747,2.52987,1.40338,0.76793,0.49905,0.74107,0.33439,1.61268,2.65999,1.38493,0.00135826,0.00135826,0.00135826
7,459.254,1.66865,2.18526,1.32533,0.58811,0.82403,0.93029,0.43163,1.61066,2.43391,1.35271,0.00134412,0.00134412,0.00134412
8,531.528,1.54204,2.13326,1.2993,0.75285,0.88288,0.95024,0.40434,1.73033,2.055,1.40349,0.00132997,0.00132997,0.00132997
9,595.76,1.58861,2.35092,1.33594,0.771,0.98003,0.96381,0.49391,1.64939,3.4051,1.33208,0.00131582,0.00131582,0.00131582
10,670.711,1.4977,1.9361,1.24663,0.94031,0.9557,0.98766,0.49607,1.58499,2.06559,1.29771,0.00130168,0.00130168,0.00130168
11,743.132,1.48631,1.79834,1.23256,0.87859,0.91293,0.95063,0.53671,1.4994,1.51833,1.24019,0.00128753,0.00128753,0.00128753
12,815.819,1.50409,1.83351,1.3034,0.80126,0.96087,0.93356,0.35179,1.96385,2.25031,1.4768,0.00127338,0.00127338,0.00127338
13,879.894,1.52073,1.79184,1.26307,0.80049,1,0.899,0.43096,1.86663,2.88836,1.38594,0.00125923,0.00125923,0.00125923
14,943.572,1.46917,1.73241,1.24015,0.95445,1,0.995,0.6208,1.31734,2.03265,1.14416,0.00124509,0.00124509,0.00124509
15,1007.55,1.40767,1.71724,1.21216,0.95935,0.99972,0.995,0.56137,1.59993,1.26575,1.27884,0.00123094,0.00123094,0.00123094
16,1070.97,1.52969,1.70716,1.25072,0.92617,0.99858,0.9925,0.48305,1.82367,1.28011,1.38898,0.00121679,0.00121679,0.00121679
17,1135.82,1.44654,1.5217,1.21034,0.98732,1,0.995,0.57104,1.60425,1.49386,1.23961,0.00120265,0.00120265,0.00120265
18,1200.41,1.38476,1.52527,1.21896,0.96779,1,0.995,0.49629,1.69452,2.42781,1.32703,0.0011885,0.0011885,0.0011885
19,1264.11,1.39813,1.5136,1.20557,0.94149,0.9697,0.96409,0.46583,1.68885,2.20719,1.39603,0.00117435,0.00117435,0.00117435
20,1326.94,1.48033,1.52221,1.2411,0.98389,1,0.995,0.60362,1.4868,1.20128,1.2264,0.00116021,0.00116021,0.00116021
21,1389.4,1.43976,1.37831,1.20825,0.95172,1,0.995,0.56974,1.58564,1.15761,1.2452,0.00114606,0.00114606,0.00114606
22,1451.41,1.38733,1.44296,1.20989,0.92202,1,0.995,0.52003,1.78644,1.22704,1.35305,0.00113191,0.00113191,0.00113191
23,1513.61,1.39478,1.32574,1.21495,0.95309,0.99339,0.995,0.54818,1.45667,1.20346,1.24803,0.00111776,0.00111776,0.00111776
24,1575.59,1.39287,1.34996,1.22847,0.97429,1,0.995,0.5171,1.65606,1.13322,1.31347,0.00110362,0.00110362,0.00110362
25,1637.76,1.38133,1.31661,1.20029,0.9822,0.99725,0.995,0.52032,1.6701,1.02054,1.26344,0.00108947,0.00108947,0.00108947
26,1710.09,1.29355,1.40754,1.17159,0.9858,0.99727,0.995,0.57486,1.48597,0.98458,1.16512,0.00107532,0.00107532,0.00107532
27,1771.98,1.30499,1.23029,1.15065,0.98043,1,0.995,0.62132,1.33952,0.96,1.1164,0.00106118,0.00106118,0.00106118
28,1834.23,1.31586,1.25082,1.16655,0.97255,1,0.995,0.56825,1.57513,0.96181,1.21492,0.00104703,0.00104703,0.00104703
29,1896.19,1.40241,1.23428,1.16011,0.96793,1,0.995,0.56151,1.56316,0.97988,1.2181,0.00103288,0.00103288,0.00103288
30,1958.81,1.32838,1.22168,1.14823,0.97265,1,0.995,0.5682,1.52268,0.98062,1.20063,0.00101873,0.00101873,0.00101873
31,2022.84,1.30288,1.17817,1.13349,0.97345,1,0.995,0.49663,1.70525,0.96432,1.30172,0.00100459,0.00100459,0.00100459
32,2085.08,1.27545,1.26543,1.14337,0.98559,1,0.995,0.48207,1.75677,1.03959,1.33404,0.00099044,0.00099044,0.00099044
33,2147.08,1.28388,1.23054,1.16981,0.95919,0.97612,0.995,0.43181,1.99372,1.40058,1.43605,0.000976293,0.000976293,0.000976293
34,2209.69,1.31436,1.15558,1.18856,0.95565,0.95558,0.995,0.3511,2.31862,1.67112,1.63605,0.000962146,0.000962146,0.000962146
35,2271.97,1.25094,1.11293,1.13416,0.95472,0.99548,0.995,0.40934,2.04148,1.49826,1.50974,0.000947999,0.000947999,0.000947999
36,2334.51,1.27954,1.10164,1.13522,0.97983,1,0.995,0.53698,1.56556,1.20983,1.25176,0.000933851,0.000933851,0.000933851
37,2396.3,1.20771,1.08231,1.09681,0.98614,1,0.995,0.54117,1.52175,1.11094,1.2169,0.000919704,0.000919704,0.000919704
